logFC	AveExpr	t	P.Value	adj.P.Val	B
CYP2C18	-2.69345988010193	4.22024148383037	-23.9264602036505	3.41203193710939e-12	4.86009829121861e-10	18.4720400960503
CARS1	-2.06607742968994	6.82200213396964	-23.958206507048	3.35451472141412e-12	4.81023902937812e-10	18.4035304350559
EPS8L1	-2.08882715564122	7.91477608322201	-23.7725979361041	3.70621892997032e-12	5.20967589853591e-10	18.3157425043283
ARHGEF4	-5.20721226448151	1.70290236776875	-24.2364107796355	2.89284227015101e-12	4.29225471833657e-10	18.2822321539226
MISP3	-5.00926885358083	2.69880139556533	-23.6484352615057	3.96349775899738e-12	5.46348987862826e-10	18.267788629544
MTM1	-1.96875265469908	4.35516026388248	-23.5650459052311	4.14702703571964e-12	5.67983202853755e-10	18.2594920308679
STK10	-1.80301715492724	6.17685637337604	-23.6777576713762	3.90105346786174e-12	5.44770643100223e-10	18.2451728441594
TBC1D10A	-1.85219357338755	5.97696176262795	-23.6494230357491	3.9613768242982e-12	5.46348987862826e-10	18.2324518526782
ADAM8	-2.3369008672308	5.2947911344116	-23.5326966804709	4.22066437228374e-12	5.7438671960646e-10	18.194027920176
TOP1	-1.77872770502374	8.41500863732561	-23.4424756232924	4.43356238400232e-12	5.96619642899236e-10	18.1378931739403
SNX5	-1.45368855732877	8.20932958914075	-23.4398690599069	4.43988220635489e-12	5.96619642899236e-10	18.1304371890142
ELOVL5	1.85566735622591	8.40909544260171	23.4246873405176	4.47688444059815e-12	5.97831955986376e-10	18.1167486210227
COL11A1	-3.27252386333461	3.81850577433143	-23.1606663071525	5.17630010304089e-12	6.74370902448608e-10	18.0710540469396
SEMA7A	-2.0158718696071	7.86244224826261	-23.3235121437093	4.73210162938566e-12	6.2798809573574e-10	18.0612426383295
HAPLN3	-2.7129337984334	3.64700516247753	-23.1397175659294	5.23661940985797e-12	6.78094607945608e-10	18.0611371855784
ARHGAP17	-1.97633025229763	6.11493515610241	-23.3051475474946	4.78008114526542e-12	6.30439591047784e-10	18.0365556793702
VEGFA	-2.31934388560907	7.67151854862429	-23.0334626291901	5.55442377612509e-12	7.10633643117896e-10	17.8939922465531
CGB5	-7.10479217093856	6.01057398164515	-22.8804372658032	6.049074162556e-12	7.69312610459355e-10	17.8882253318297
GSTA4	-2.56036876430075	3.63086803041197	-22.826220003618	6.23551820403746e-12	7.79111590336049e-10	17.8849286732206
ANXA5	-1.57809791855499	9.22743609042974	-22.8530200416735	6.14259720659778e-12	7.74822649916384e-10	17.8165246660786
PID1	-2.2491914529474	5.52377395894438	-22.846539890624	6.16492794560448e-12	7.74822649916384e-10	17.7911804157272
CRIP1	-5.50219687169607	1.14982264263212	-23.8062476446132	3.63962644976408e-12	5.14995090898406e-10	17.7844268783967
SLC25A25	-2.73222418578687	5.07274464860639	-22.614687745291	7.02419719378378e-12	8.72552309548745e-10	17.685064696669
SLC17A9	-5.47560795630489	1.40288775844841	-23.27477336605	4.86058819658202e-12	6.37124708025592e-10	17.6788042445986
TMEM198	-3.48819635185634	2.91695851703021	-22.3948996142681	7.95848726104648e-12	9.59214061367916e-10	17.6444088111437
NFYB	-1.5387250231884	4.87307094209362	-22.4542643546361	7.69364513146503e-12	9.44726562522309e-10	17.586715770228
