logFC	AveExpr	t	P.Value	adj.P.Val	B
DEDD2	-2.04727244796755	5.79678412625809	-35.0936900136957	5.07713230962237e-15	9.81102323302354e-13	24.8993618949129
CCNE1	-1.91457252922452	9.17561825250228	-35.0837760789582	5.09699325501083e-15	9.81102323302354e-13	24.880039796106
FOSB	-4.96029542676063	5.26879514311542	-34.9230474239835	5.43086586841931e-15	1.00030931159178e-12	24.8641599118041
DSEL	-2.50824240765405	3.67071231531549	-34.9436583527334	5.38677266146105e-15	1.00030931159178e-12	24.8345690932819
CDYL	-2.07586290099522	6.2881015759427	-34.9529944124152	5.36692620918515e-15	1.00030931159178e-12	24.8320913959421
PCSK7	-1.76396898542481	5.9066489961595	-34.8719935963567	5.54175894136785e-15	1.00268112321314e-12	24.8060955755274
PTGER3	-3.46731635325366	3.43684742795817	-35.0066646994481	5.25434315780291e-15	1.00030931159178e-12	24.7999568226064
MAF	-4.68591330494626	3.07307865018669	-35.4174131522806	4.47206740536085e-15	8.99822107042533e-13	24.7637451761031
COL11A1	-3.63928515991999	3.56654776839544	-34.8568890877479	5.57503011137591e-15	1.00268112321314e-12	24.7591694870376
ATP2A3	-6.49131531210646	2.2246097931057	-37.7706048476315	1.83714743263314e-15	4.72921590911323e-13	24.5741772962867
TEAD3	-1.73834128997785	8.45185097190651	-34.2880204682189	6.9978474630983e-15	1.24596674080465e-12	24.5507989450564
SDC1	-4.51410470864897	8.40433980457454	-34.2077230151578	7.22815683369194e-15	1.27633718106332e-12	24.5264936412005
MOB3B	-2.12933162411361	4.81691778666414	-33.7825294678146	8.59086909912341e-15	1.48026217074089e-12	24.3958960126088
PPTC7	-2.28731667306026	5.13732148737845	-33.5694187616987	9.37519695703052e-15	1.58976554114217e-12	24.2966804599034
TFAP2C	-2.02087790357843	8.56881090772118	-33.6769700473826	8.97019951741648e-15	1.53325826311296e-12	24.296599462921
CKMT1A	-6.35558943231582	2.50884801170966	-35.6929822482637	4.01775262821364e-15	8.70321898969206e-13	24.2601295297396
SLTM	-2.12632351887935	7.71264469825158	-33.5291501431046	9.53183374699719e-15	1.60359968376647e-12	24.2323671534498
HEG1	-3.90402455600818	4.11381060781898	-33.3385647284607	1.03121516361688e-14	1.69551470548234e-12	24.2129697987794
MTMR4	-1.75911753000956	6.57547265713105	-33.3967475003989	1.00669210126426e-14	1.68038933090721e-12	24.1809889846311
NECTIN4	-1.55447005905	7.24491105526634	-33.3376059318307	1.03162459848687e-14	1.69551470548234e-12	24.1502434504909
ACP3	1.69708180164969	7.7833614163243	33.2564060463702	1.06693906201304e-14	1.72698636355839e-12	24.1212575068545
APPBP2	-1.96220038724856	6.6063249616987	-33.1917997896657	1.09596128558603e-14	1.76062472389708e-12	24.0935805689921
NTN1	-6.13404064713606	2.45364271762842	-34.980464829149	5.30898281109419e-15	1.00030931159178e-12	24.0512926653589
CSRNP1	-2.18263492294886	4.92029646850686	-32.8943873248588	1.24090528760316e-14	1.92124509963255e-12	24.0193505009981
FOXN3	1.7428228088389	7.29313152961934	32.9311961683792	1.22190274843636e-14	1.91964515610966e-12	23.9898894876974
MED12L	-1.53744047217248	6.83055517986789	-32.9445705716324	1.2150755998975e-14	1.91964515610966e-12	23.9841202154946
CEP170B	-1.64746431358363	7.28859522937386	-32.9487610510091	1.21294492435204e-14	1.91964515610966e-12	23.9833574230284
CD274	-2.2973580218268	5.9775989077681	-32.8985957185823	1.23871677411142e-14	1.92124509963255e-12	23.9821142517061
ICE1	1.66377967502893	7.13200338375831	32.8424741052347	1.26824518059929e-14	1.94944795170392e-12	23.9541777253473
SPIRE2	-2.55829430873996	6.82027171638422	-32.7676990439651	1.30876469186788e-14	1.99736188617494e-12	23.910555110355
CARS1	-2.09033676942497	6.79250741047912	-32.6825828109689	1.35658152162323e-14	2.05565395680865e-12	23.8720003558943
XAGE2	-1.82934549488454	6.80097186515009	-32.6607131377397	1.36916728316794e-14	2.06011466001171e-12	23.8617101317564
SMAD7	-2.35273613200224	7.25670792085636	-32.6278581938273	1.3883105176357e-14	2.07431066572058e-12	23.8461766712074
ANXA5	-1.6195816373799	9.18620499030655	-32.5847714942964	1.41385088277888e-14	2.09780124732316e-12	23.8304668660596
MOCOS	-3.89496876480938	3.26097344381597	-32.5444588682027	1.43820280398023e-14	2.11921662826494e-12	23.7955434475274
PTEN	-2.23874159472017	6.57570354384065	-32.4736121680554	1.48209455152281e-14	2.15417906039703e-12	23.7840162648195
GPR32	-5.73018939624119	2.38749578768609	-33.9850256743008	7.91042449719876e-15	1.38536171973073e-12	23.767681066837
TSPAN15	1.63363047159759	7.04869041786388	32.3851355217296	1.53893276846912e-14	2.22167821156156e-12	23.756945648217
