logFC	AveExpr	t	P.Value	adj.P.Val	B
DLX5	3.86118420740495	4.63894920820861	20.3775076919324	2.97883171891994e-11	1.64598616078369e-08	16.1233875984409
LINC01833	-3.68288286249884	6.40484738510186	-20.0636051153304	3.6241443787955e-11	1.82455535336916e-08	16.0775126375252
CDH3	2.35920742385818	6.49831237182373	19.8772652035288	4.07712217429011e-11	1.92709966488492e-08	16.0242910424596
ID1	2.12502395009879	7.99206276480358	19.811219439421	4.25197685808569e-11	1.96588848408023e-08	15.9224730512884
OLFML2A	-4.18107512974359	6.06498276371563	-19.9298768057523	3.94336396250205e-11	1.92709966488492e-08	15.8836789497032
CRLF1	-5.76931600200511	5.63452482236867	-21.0432230926934	1.98365563890541e-11	1.321756426453e-08	15.8296209585234
FERMT1	3.08880957594431	5.76087720728877	19.5495567715938	5.02816766918692e-11	2.27826277090859e-08	15.8159564268641
ZBTB20	-2.75199351327487	6.69151567602268	-19.4813934772053	5.25447539882432e-11	2.29127419392427e-08	15.7722238013507
MSX1	3.37043506040046	4.77966051688513	19.4800161685603	5.25915948285422e-11	2.29127419392427e-08	15.6723793328694
ZIC2	2.95657118873359	5.42636568800376	19.3222343592524	5.82664458955088e-11	2.49061572030708e-08	15.6595300612199
TBC1D1	2.27383543306982	6.32667389763586	19.124178241117	6.63383423645194e-11	2.7831391597559e-08	15.5382793794954
BCAM	2.69707741977964	5.39175338582963	18.9798733397337	7.29732643749851e-11	3.00583509893688e-08	15.4401749549582
BEX1	-3.38261107651567	6.25843307480625	-18.760970322516	8.44363333923333e-11	3.4159020232202e-08	15.2687719414231
SPON1	-5.35586999974129	5.3749831488202	-19.8749888419022	4.08301849103844e-11	1.92709966488492e-08	15.2287706686319
PERP	1.75146908289907	7.95705410905463	18.5617133856117	9.65630695571751e-11	3.83795849266281e-08	15.079751367765
CDH2	-2.2595445162567	8.58789080829765	-18.5315639891435	9.85553933899621e-11	3.84960765043033e-08	15.0671560356169
BAMBI	3.01484019588617	4.8363328788166	18.4449041479465	1.04531941942194e-10	3.97495733059549e-08	15.0433521406402
CKB	-2.98778498873599	8.09719464124406	-18.4345222570856	1.05273643714734e-10	3.97495733059549e-08	15.0428358893463
LEFTY2	-3.22796894953461	8.16000224467689	-18.3973429228778	1.07976527697502e-10	4.01017743440478e-08	15.0181451454722
CTDSPL	2.07889464997546	6.49488664697278	18.3545258589451	1.11181933637601e-10	4.04009844507847e-08	15.0102138516662
IRX2	2.16933505050308	7.22524302098003	18.3162739258755	1.14132112330621e-10	4.04009844507847e-08	14.9485877000003
LY6E	2.35783113798617	5.80236528135014	18.2325417717144	1.20887576415522e-10	4.21339699029794e-08	14.9465644257901
VAMP8	3.66544494340787	4.86631527664758	18.3233032053376	1.13583735837955e-10	4.04009844507847e-08	14.94437964853
IRX3	3.15546802604305	5.02377433038248	17.8367115612193	1.59185354128318e-10	5.26979396613317e-08	14.6534532962837
SLC7A2	3.42462755133124	4.22018880237819	17.9414838093992	1.47920805334349e-10	5.00171021619355e-08	14.582862933666
SOX2	-1.88869532788374	8.39718240434692	-17.8044864449269	1.6283267144293e-10	5.2699631021994e-08	14.5536717943318
CDON	3.74596736373122	4.46854038910123	17.8249938451694	1.60501339070046e-10	5.26979396613317e-08	14.5450388764082
TPD52L1	3.19449954694189	4.75101428873171	17.7052592518799	1.74638461612259e-10	5.57244274341653e-08	14.5371173824494
ARHGAP8	3.2741798963005	4.4978000077014	17.5968217255981	1.8859958290243e-10	5.93433826479798e-08	14.4269056617154
LMO7	2.74917625475081	5.11973723248935	17.2932550138589	2.34459122372415e-10	7.06495312679402e-08	14.2846569817621
